"Alert Email Sender","Email 알림시 발송인"
"Alert subscription has been saved.","알림 구독서비스가 저장되었습니다."
"Allow Alert When Product Comes Back in Stock","재고가 추가시 알림 허용하기"
"Allow Alert When Product Price Changes","가격 변동시 알림 허용하기"
"Click here not to receive alerts for this product","이 상품에 대한 알림 받지 않기 클릭"
"Error Email Recipient","에러 메일 수신인"
"Error Email Sender","에러 메일 발송인"
"Error Email Template","에러 메일 템플릿"
"Frequency","주기"
"Not enough parameters.","파라미터가 빠져있습니다."
"Price Alert Email Template","가격 알림 Email 템플릿"
"Price:","가격:"
"Product Alerts","상품 알림"
"Product Alerts Run Settings","상품 알림 실행 설정"
"Product alerts Cron error","상품 알림 크론 에러"
"Product price alert","상품 가격 알림"
"Product stock alert","상품 재고 알림"
"Regular Price:","일반가:"
"Sign up for price alert","가격 알림을 위해 회원가입을 하십시오"
"Sign up to get notified when this product is back in stock","상품 재고 알림을 받기 위해 회원가입을 하십시오."
"Special price:","특별가:"
"Start Time","시작 시간"
"Stock Alert Email Template","재고 알림 Email 템플릿"
"The alert subscription has been deleted.","알림 구독서비스가 삭제되었습니다."
"The alert subscription has been saved.","알림 구독서비스가 저장되었습니다."
"The product is not found.","상품을 발견할 수 없습니다."
"The product was not found.","상품이 없습니다."
"Unable to update the alert subscription.","알림 구독서비스를 업데이트 할 수 없습니다."
"Unsubscribe from all price alerts","모든 가격 알림 서비스를 종료하기."
"Unsubscribe from all stock alerts","모든 재고 알림 서비스를 종료하기."
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","재고 알림 서비스를 받고 계십니다:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","가격 알림 서비스를 받고 계십니다:"
"You will no longer receive price alerts for this product.","더 이상 이 상품에 대한 가격 알림을 받지 않습니다."
"You will no longer receive stock alerts for this product.","더 이상 이 상품에 대한 재고 알림을 받지 않습니다."
"You will no longer receive stock alerts.","더 이상 재고 알림을 받지 않습니다."
